method,acc,f1,auc
MRMR,0.986159169550173,0.9861677319327402,0.9996534094747661
DISC,0.9844290657439446,0.9844361302011386,0.9996740956062012
AUC-Greedy,0.9775086505190311,0.9776553360468273,0.9993117698073536
EPIC,0.9826989619377162,0.9826917651289963,0.9995241207899571
UMEP,0.9792387543252595,0.9793249711523628,0.999331282310929
Hybrid,0.9826989619377162,0.9827035823822737,0.9995329371477552
Equal-Avg(6),0.9826989619377162,0.9827558014399056,0.999590538996323
Grad-Weighted(6),0.9792387543252595,0.9792719134974827,0.9995641605389408
