method,acc,f1,auc
MRMR,0.8666666666666667,0.4642857142857143,0.8141025641025642
DISC,0.8666666666666667,0.4642857142857143,0.8269230769230769
AUC-Greedy,0.8666666666666667,0.4642857142857143,0.717948717948718
EPIC,0.8666666666666667,0.4642857142857143,0.8226495726495727
UMEP,0.8888888888888888,0.612736660929432,0.829059829059829
Hybrid,0.8666666666666667,0.4642857142857143,0.8269230769230769
Equal-Avg(6),0.8666666666666667,0.4642857142857143,0.8247863247863247
Grad-Weighted(6),0.8666666666666667,0.4642857142857143,0.858974358974359
