method,acc,f1,auc
MRMR,0.7910447761194029,0.6446969696969697,0.6731805929919137
DISC,0.7761194029850746,0.6063454759106932,0.6623989218328841
AUC-Greedy,0.7611940298507462,0.593939393939394,0.6287061994609164
EPIC,0.8059701492537313,0.6803669724770642,0.6570080862533693
UMEP,0.7910447761194029,0.6193181818181819,0.7102425876010783
Hybrid,0.8059701492537313,0.6803669724770642,0.658355795148248
Equal-Avg(6),0.7761194029850746,0.6063454759106932,0.6637466307277629
Grad-Weighted(6),0.7910447761194029,0.6193181818181819,0.704177897574124
