method,acc,f1,auc
MRMR,0.9416666666666667,0.9365750528541227,0.9869656674930508
DISC,0.9458333333333333,0.9409527053880657,0.9873788595898129
AUC-Greedy,0.9416666666666667,0.9365750528541227,0.988355495454887
EPIC,0.9458333333333333,0.9406381399950532,0.987378859589813
UMEP,0.9375,0.9318685062169989,0.9859514687100894
Hybrid,0.9375,0.9315055461481383,0.987303733754038
Equal-Avg(6),0.9375,0.9318685062169989,0.988280369619112
Grad-Weighted(6),0.9375,0.9318685062169989,0.9885057471264368
