method,acc,f1,auc
MRMR,0.8977272727272727,0.8902286902286902,0.94921875
DISC,0.9204545454545454,0.9134709931170109,0.9483816964285714
AUC-Greedy,0.9090909090909091,0.9003961516694963,0.9534040178571428
EPIC,0.875,0.8674517321648638,0.9514508928571428
UMEP,0.9090909090909091,0.9003961516694963,0.9606584821428572
Hybrid,0.875,0.8674517321648638,0.9517299107142857
Equal-Avg(6),0.9090909090909091,0.9017857142857143,0.953125
Grad-Weighted(6),0.9090909090909091,0.9017857142857143,0.9528459821428572
