method,acc,f1,auc
MRMR,0.8845283018867924,0.8826416101414785,0.9571697365815014
DISC,0.8875471698113208,0.885753983203217,0.9570626465291309
AUC-Greedy,0.8852830188679245,0.8833399753473155,0.9561621688844671
EPIC,0.8852830188679245,0.8833399753473155,0.9563118646565978
UMEP,0.8860377358490567,0.8842204796220521,0.9551949038953143
Hybrid,0.889811320754717,0.887989095945489,0.9567287098066852
Equal-Avg(6),0.8867924528301887,0.8850528843484538,0.9584294840792789
Grad-Weighted(6),0.8860377358490567,0.8843513822054594,0.95851354401286
