method,acc,f1,auc
MRMR,0.9513466550825369,0.9487937258490949,0.9854568667479886
DISC,0.9539530842745438,0.9515566620210996,0.9856907198250526
AUC-Greedy,0.952215464813206,0.9496460788688523,0.9849828402404263
EPIC,0.94874022589053,0.9458937698439573,0.9835291589505685
UMEP,0.9496090356211989,0.9468331485658219,0.9802030729558397
Hybrid,0.94874022589053,0.9458937698439573,0.983816735031823
Equal-Avg(6),0.9530842745438749,0.9506225213544843,0.9847616278702306
Grad-Weighted(6),0.9548218940052129,0.9524899664702295,0.9854616070130641
