method,acc,f1,auc
MRMR,0.9675675675675676,0.9675669610768469,0.9950030620926948
DISC,0.9664864864864865,0.9664855072463768,0.9951123390648229
AUC-Greedy,0.9643243243243244,0.9643228232247025,0.9948733322113451
EPIC,0.965945945945946,0.9659447419470493,0.9940575533178125
UMEP,0.9621621621621622,0.9621605700868058,0.9937466690976411
Hybrid,0.965945945945946,0.9659447419470493,0.9940575533178125
Equal-Avg(6),0.9718918918918918,0.9718917604874121,0.9955476938468298
Grad-Weighted(6),0.967027027027027,0.9670270173928466,0.9953110244686918
