method,acc,f1,auc
MRMR,0.9432432432432433,0.9432205314558255,0.9863759198825544
DISC,0.9416216216216217,0.9415915171471871,0.9861135137409648
AUC-Greedy,0.9372972972972973,0.9372679704171418,0.9881303591632926
EPIC,0.9421621621621622,0.9421248075090687,0.9850177197198507
UMEP,0.9367567567567567,0.9367225712298624,0.9864232581842665
Hybrid,0.9421621621621622,0.9421248075090687,0.9850177197198507
Equal-Avg(6),0.9410810810810811,0.9410599849471322,0.987836978577373
Grad-Weighted(6),0.9437837837837838,0.9437647895096196,0.987216905267292
