method,acc,f1,auc
MRMR,0.766,0.7675522524043308,0.964331111111111
DISC,0.766,0.7681828371972292,0.9635355555555556
AUC-Greedy,0.766,0.7693671491563069,0.9648
EPIC,0.762,0.7632017779162268,0.9655666666666669
UMEP,0.784,0.7846245352273031,0.9643333333333335
Hybrid,0.758,0.7596548796440044,0.9640533333333332
Equal-Avg(6),0.766,0.7678534026365399,0.9674444444444446
Grad-Weighted(6),0.766,0.7687148322309243,0.9674311111111111
