method,acc,f1,auc
MRMR,0.8540660060601097,0.792457711736607,0.9013781655294447
DISC,0.8541478994349357,0.7923368267927637,0.901520820258799
AUC-Greedy,0.8539022193104577,0.7919605589956054,0.9014134976279599
EPIC,0.8553763000573253,0.7937443454459645,0.9019612004189156
UMEP,0.8548030464335435,0.7936368034742667,0.8997812946786176
Hybrid,0.8543935795594136,0.7929761142840579,0.9018946994410013
Equal-Avg(6),0.8556219801818032,0.7925247994769556,0.9046601822134164
Grad-Weighted(6),0.8552944066824993,0.7918377877267145,0.9048405085493729
